{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': -1.0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610281408', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 191, Train Loss: -5.4620244, Train Acc: 0.9808056, Test Acc: 0.8126521, Train Cov: 5.5399985
Epoch: 192, Train Loss: -5.4646477, Train Acc: 0.9848608, Test Acc: 0.8102190, Train Cov: 5.5401249
Epoch: 193, Train Loss: -5.4648415, Train Acc: 0.9791836, Test Acc: 0.8029197, Train Cov: 5.5402861
Epoch: 194, Train Loss: -5.4508287, Train Acc: 0.9678291, Test Acc: 0.8004866, Train Cov: 5.5401201
Epoch: 195, Train Loss: -5.4584545, Train Acc: 0.9770208, Test Acc: 0.8029197, Train Cov: 5.5403070
Epoch: 196, Train Loss: -5.4601590, Train Acc: 0.9791836, Test Acc: 0.8223844, Train Cov: 5.5402946
Epoch: 197, Train Loss: -5.4529649, Train Acc: 0.9797242, Test Acc: 0.8150852, Train Cov: 5.5403442
Epoch: 198, Train Loss: -5.4516630, Train Acc: 0.9713436, Test Acc: 0.7956204, Train Cov: 5.5401349
Epoch: 199, Train Loss: -5.4397300, Train Acc: 0.9748581, Test Acc: 0.8029197, Train Cov: 5.5396118
Epoch: 200, Train Loss: -5.4557651, Train Acc: 0.9818870, Test Acc: 0.8004866, Train Cov: 5.5396762
Epoch: 201, Train Loss: -5.4655075, Train Acc: 0.9635036, Test Acc: 0.7956204, Train Cov: 5.5400863
Epoch: 202, Train Loss: -5.4775488, Train Acc: 0.9848608, Test Acc: 0.7956204, Train Cov: 5.5402250
Epoch: 203, Train Loss: -5.4754806, Train Acc: 0.9862125, Test Acc: 0.8004866, Train Cov: 5.5402136
Epoch: 204, Train Loss: -5.4782656, Train Acc: 0.9867532, Test Acc: 0.8126521, Train Cov: 5.5402741
Epoch: 205, Train Loss: -5.4861245, Train Acc: 0.9872939, Test Acc: 0.8223844, Train Cov: 5.5402284
Epoch: 206, Train Loss: -5.4851709, Train Acc: 0.9840497, Test Acc: 0.8175182, Train Cov: 5.5403581
